PROBE_ID chr BP gene_name
ENSG00000188647.8 chr9 72333054 PTAR1
ENSG00000119138.3 chr9 72999503 KLF9
ENSG00000135048.9 chr9 74298282 TMEM2
ENSG00000155621.10 chr9 74526461 C9orf85
ENSG00000107372.8 chr9 74966341 ZFAND5
ENSG00000107362.9 chr9 74480068 ABHD17B
ENSG00000135046.9 chr9 75766673 ANXA1
ENSG00000165092.8 chr9 75515578 ALDH1A1
ENSG00000135045.6 chr9 77561497 C9orf40
ENSG00000106733.16 chr9 77676116 NMRK1
ENSG00000134996.11 chr9 77703459 OSTF1
ENSG00000156017.8 chr9 77595936 C9orf41
ENSG00000137038.7 chr9 7796490 C9orf123
ENSG00000099139.9 chr9 78505621 PCSK5
ENSG00000135002.7 chr9 79000433 RFK
ENSG00000187210.8 chr9 79074068 GCNT1
ENSG00000197969.7 chr9 79792269 VPS13A
ENSG00000148019.8 chr9 80851123 CEP78
ENSG00000156052.6 chr9 80331003 GNAQ
ENSG00000106829.14 chr9 82186688 TLE4
ENSG00000172159.11 chr9 85859537 FRMD3
ENSG00000148057.11 chr9 86238083 IDNK
ENSG00000135018.9 chr9 86274878 UBQLN1
ENSG00000165113.8 chr9 86354336 GKAP1
ENSG00000165119.14 chr9 86582999 HNRNPK
ENSG00000178966.11 chr9 86595713 RMI1
ENSG00000165118.10 chr9 86553226 C9orf64
ENSG00000135049.11 chr9 88161457 AGTPBP1
ENSG00000135040.11 chr9 88556061 NAA35
ENSG00000135052.12 chr9 88641062 GOLM1
ENSG00000135070.9 chr9 88879461 ISCA1
ENSG00000083223.13 chr9 88902874 ZCCHC6
ENSG00000196730.8 chr9 90112796 DAPK1
ENSG00000135047.10 chr9 90341024 CTSL
ENSG00000156345.13 chr9 90581361 CDK20
ENSG00000106723.12 chr9 91003334 SPIN1
ENSG00000213694.3 chr9 91606362 S1PR3
ENSG00000123975.4 chr9 91926113 CKS2
ENSG00000187742.10 chr9 91933421 SECISBP2
ENSG00000187764.7 chr9 91992150 SEMA4D
ENSG00000130222.6 chr9 92219928 GADD45G
ENSG00000165025.10 chr9 93564069 SYK
ENSG00000148090.7 chr9 93976097 AUH
ENSG00000196305.13 chr9 94972625 IARS
ENSG00000198000.7 chr9 95059640 NOL8
ENSG00000165030.3 chr9 94171327 NFIL3
ENSG00000090054.9 chr9 94794281 SPTLC1
ENSG00000127084.13 chr9 95736764 FGD3
ENSG00000157303.6 chr9 95820989 SUSD3
ENSG00000165233.13 chr9 95858500 C9orf89
ENSG00000188938.11 chr9 96208776 FAM120AOS
ENSG00000048828.12 chr9 96214004 FAM120A
ENSG00000197724.6 chr9 96338689 PHF2
ENSG00000185963.9 chr9 95473645 BICD2
ENSG00000127081.9 chr9 95608351 ZNF484
ENSG00000131669.5 chr9 95883771 NINJ1
ENSG00000148110.11 chr9 97136833 HIATL1
ENSG00000165140.5 chr9 97365415 FBP1
ENSG00000130958.7 chr9 99082988 SLC35D2
ENSG00000225194.2 chr9 98782014 LINC00092
ENSG00000196116.6 chr9 100174232 TDRD7
ENSG00000136842.8 chr9 100263921 TMOD1
ENSG00000158122.7 chr9 99401859 AAED1
ENSG00000136937.8 chr9 100395908 NCBP1
ENSG00000136936.6 chr9 100437191 XPA
ENSG00000136938.8 chr9 100745643 ANP32B
ENSG00000095380.10 chr9 100819021 NANS
ENSG00000106789.8 chr9 100883257 CORO2A
ENSG00000107521.14 chr10 100188908 HPS1
ENSG00000172987.8 chr10 100218875 HPSE2
ENSG00000120053.9 chr10 101156627 GOT1
ENSG00000155287.6 chr10 101370282 SLC25A28
ENSG00000198018.6 chr10 101419263 ENTPD7
ENSG00000014919.8 chr10 101471601 COX15
ENSG00000119929.8 chr10 101491977 CUTC
ENSG00000107566.9 chr10 101909851 ERLIN1
ENSG00000213341.6 chr10 101948055 CHUK
ENSG00000095485.12 chr10 101992055 CWF19L1
ENSG00000212464.1 chr10 101996913 SNORA12
ENSG00000196072.7 chr10 102034452 BLOC1S2
ENSG00000107593.15 chr10 102047911 PKD2L1
ENSG00000099194.5 chr10 102106881 SCD
ENSG00000166136.11 chr10 102283497 NDUFB8
ENSG00000166135.8 chr10 102295616 HIF1AN
ENSG00000119906.6 chr10 102672720 FAM178A
ENSG00000095539.11 chr10 102732297 SEMA4G
ENSG00000107815.3 chr10 102747783 C10orf2
ENSG00000055950.12 chr10 102746033 MRPL43
ENSG00000107819.9 chr10 102790996 SFXN3
ENSG00000166169.12 chr10 103338641 POLL
ENSG00000166171.8 chr10 103348045 DPCD
ENSG00000107829.9 chr10 103370423 FBXW4
ENSG00000107833.6 chr10 103541082 NPM3
ENSG00000198408.9 chr10 103544209 MGEA5
ENSG00000120029.8 chr10 103605356 C10orf76
ENSG00000166189.6 chr10 103825147 HPS6
ENSG00000148840.6 chr10 103892787 PPRC1
ENSG00000166197.12 chr10 103911933 NOLC1
ENSG00000119915.4 chr10 103986085 ELOVL3
ENSG00000107862.4 chr10 104005289 GBF1
ENSG00000077150.13 chr10 104155463 NFKB2
ENSG00000107872.8 chr10 104179571 FBXL15
ENSG00000107874.6 chr10 104183002 CUEDC2
ENSG00000138111.10 chr10 104221152 TMEM180
ENSG00000138107.7 chr10 104238986 ACTR1A
ENSG00000171206.8 chr10 104404253 TRIM8
ENSG00000138175.8 chr10 104433488 ARL3
ENSG00000166272.12 chr10 104503727 WBP1L
ENSG00000166275.11 chr10 104613980 C10orf32
ENSG00000148842.12 chr10 104678074 CNNM2
ENSG00000107937.14 chr10 1034338 GTPBP4
ENSG00000076685.14 chr10 104845940 NT5C2
ENSG00000156374.10 chr10 105062553 PCGF6
ENSG00000148835.9 chr10 105127724 TAF5
ENSG00000173915.8 chr10 105148807 USMG5
ENSG00000148843.9 chr10 105156405 PDCD11
ENSG00000138172.6 chr10 105206546 CALHM2
ENSG00000107957.12 chr10 105353786 SH3PXD2A
ENSG00000107960.6 chr10 105642300 OBFC1
ENSG00000065613.9 chr10 105726959 SLK
ENSG00000156384.10 chr10 105881816 SFR1
ENSG00000148834.8 chr10 106014493 GSTO1
ENSG00000148841.11 chr10 106071901 ITPRIP
ENSG00000067064.6 chr10 1085848 IDI1
ENSG00000108039.13 chr10 111624524 XPNPEP1
ENSG00000148700.9 chr10 111767722 ADD3
ENSG00000119950.16 chr10 111985751 MXI1
ENSG00000119953.7 chr10 112052798 SMNDC1
ENSG00000138166.5 chr10 112257596 DUSP5
ENSG00000108055.9 chr10 112327449 SMC3
ENSG00000150593.11 chr10 112631596 PDCD4
ENSG00000108061.7 chr10 112679305 SHOC2
ENSG00000150594.5 chr10 112836790 ADRA2A
ENSG00000048740.12 chr10 11047259 CELF2
ENSG00000119927.9 chr10 113909637 GPAM
ENSG00000197142.6 chr10 114135956 ACSL5
ENSG00000023041.7 chr10 114190058 ZDHHC6
ENSG00000148737.11 chr10 114710211 TCF7L2
ENSG00000148429.9 chr10 11502509 USP6NL
ENSG00000165806.15 chr10 115439426 CASP7
ENSG00000198924.3 chr10 115594488 DCLRE1A
ENSG00000196865.4 chr10 115614420 NHLRC2
ENSG00000165813.12 chr10 115880621 C10orf118
ENSG00000095627.5 chr10 115939029 TDRD1
ENSG00000099204.14 chr10 116190872 ABLIM1
ENSG00000151553.10 chr10 116581503 FAM160B1
ENSG00000047056.10 chr10 1102798 WDR37
ENSG00000165832.4 chr10 116697952 TRUB1
ENSG00000134463.10 chr10 11784365 ECHDC3
ENSG00000165650.7 chr10 119040000 PDZD8
ENSG00000229847.3 chr10 119249162 EMX2OS
ENSG00000148426.8 chr10 11865397 PROSER2
ENSG00000107560.6 chr10 119764427 RAB11FIP2
ENSG00000165669.9 chr10 120065401 FAM204A
ENSG00000151461.15 chr10 11962022 UPF2
ENSG00000151893.10 chr10 120440501 CACUL1
ENSG00000188613.5 chr10 120789228 NANOS1
ENSG00000107581.7 chr10 120794356 EIF3A
ENSG00000119979.11 chr10 120863629 FAM45A
ENSG00000183605.12 chr10 120900425 SFXN4
ENSG00000165672.5 chr10 120927222 PRDX3
ENSG00000229205.2 chr10 1205708 LINC00200
ENSG00000198873.10 chr10 120967101 GRK5
ENSG00000148908.10 chr10 121259437 RGS10
ENSG00000151923.13 chr10 121334949 TIAL1
ENSG00000151929.5 chr10 121410882 BAG3
ENSG00000197771.8 chr10 121588972 MCMBP
ENSG00000181192.7 chr10 12110971 DHTKD1
ENSG00000107651.8 chr10 121652223 SEC23IP
ENSG00000165609.8 chr10 12209576 NUDT5
ENSG00000120008.11 chr10 122610687 WDR11
ENSG00000151465.9 chr10 12237965 CDC123
ENSG00000107669.13 chr10 123499939 ATE1
ENSG00000107672.10 chr10 123716603 NSMCE4A
ENSG00000107679.10 chr10 124152695 PLEKHA1
ENSG00000166033.7 chr10 124221041 HTRA1
ENSG00000213185.2 chr10 124608594 FAM24B
ENSG00000179988.9 chr10 124739556 PSTK
ENSG00000154473.13 chr10 124913931 BUB3
ENSG00000182022.13 chr10 125767184 CHST15
ENSG00000065154.7 chr10 126085876 OAT
ENSG00000107902.9 chr10 126150404 LHPP
ENSG00000189319.9 chr10 126307861 FAM53B
ENSG00000203791.9 chr10 126448523 METTL10
ENSG00000165660.7 chr10 126490354 FAM175B
ENSG00000019995.6 chr10 126630692 ZRANB1
ENSG00000175029.12 chr10 126676421 CTBP2
ENSG00000107938.13 chr10 127408272 C10orf137
ENSG00000188690.8 chr10 127477147 UROS
ENSG00000107949.12 chr10 127512115 BCCIP
ENSG00000089876.7 chr10 127524909 DHX32
ENSG00000183049.8 chr10 12391481 CAMK1D
ENSG00000132334.12 chr10 129705325 PTPRE
ENSG00000170430.9 chr10 131265448 MGMT
ENSG00000123240.12 chr10 13142173 OPTN
ENSG00000108010.7 chr10 131934663 GLRX3
ENSG00000107537.9 chr10 13319796 PHYH
ENSG00000175470.14 chr10 133747955 PPP2R2D
ENSG00000176171.7 chr10 133781578 BNIP3
ENSG00000086475.10 chr10 13359424 SEPHS1
ENSG00000165752.12 chr10 134020996 STK32C
ENSG00000171813.10 chr10 134210672 PWWP2B
ENSG00000151650.7 chr10 135050908 VENTX
ENSG00000151651.11 chr10 135075907 ADAM8
ENSG00000198546.10 chr10 135121979 ZNF511
ENSG00000127884.4 chr10 135175984 ECHS1
ENSG00000148832.10 chr10 135192791 PAOX
ENSG00000203772.6 chr10 135234170 SPRN
ENSG00000130640.9 chr10 135093138 TUBGCP2
ENSG00000148803.7 chr10 135168658 FUOM
ENSG00000165626.12 chr10 13480637 BEND7
ENSG00000165630.9 chr10 13628927 PRPF18
ENSG00000065809.9 chr10 14560559 FAM107B
ENSG00000152455.11 chr10 14920899 SUV39H2
ENSG00000152457.13 chr10 14949878 DCLRE1C
ENSG00000152464.10 chr10 15139381 RPP38
ENSG00000152465.13 chr10 15149865 NMT2
ENSG00000148468.12 chr10 15253642 FAM171A1
ENSG00000148481.9 chr10 15820169 FAM188A
ENSG00000165983.10 chr10 16478983 PTER
ENSG00000148484.13 chr10 16632610 RSU1
ENSG00000026025.9 chr10 17270258 VIM
ENSG00000165996.9 chr10 17631958 PTPLA
ENSG00000136738.10 chr10 17686124 STAM
ENSG00000241058.1 chr10 18834490 NSUN6
ENSG00000165997.4 chr10 18948334 ARL5B
ENSG00000120594.11 chr10 20105168 PLXDC2
ENSG00000078114.14 chr10 21068902 NEBL
ENSG00000078403.12 chr10 21823102 MLLT10
ENSG00000136770.6 chr10 22045466 DNAJC1
ENSG00000148444.11 chr10 22604903 COMMD3
ENSG00000168283.9 chr10 22610140 BMI1
ENSG00000150867.9 chr10 22823778 PIP4K2A
ENSG00000148450.8 chr10 23384435 MSRB2
ENSG00000107863.12 chr10 24872538 ARHGAP21
ENSG00000185875.8 chr10 25305587 THNSL1
ENSG00000077420.11 chr10 26727132 APBB1IP
ENSG00000148459.11 chr10 26986588 PDSS1
ENSG00000136754.12 chr10 27035522 ABI1
ENSG00000107890.12 chr10 27293227 ANKRD26
ENSG00000136758.14 chr10 27399383 YME1L1
ENSG00000120539.10 chr10 27443753 MASTL
ENSG00000107897.14 chr10 27484146 ACBD5
ENSG00000099246.12 chr10 27793197 RAB18
ENSG00000150054.14 chr10 28339922 MPP7
ENSG00000095787.16 chr10 28822242 WAC
ENSG00000015171.14 chr10 180424 ZMYND11
ENSG00000197321.10 chr10 29746267 SVIL
ENSG00000107951.7 chr10 30601759 MTPAP
ENSG00000107968.5 chr10 30722866 MAP3K8
ENSG00000183621.10 chr10 31133567 ZNF438
ENSG00000067057.11 chr10 3109712 PFKP
ENSG00000107959.11 chr10 3179922 PITRM1
ENSG00000165322.13 chr10 32095234 ARHGAP12
ENSG00000170759.10 chr10 32297938 KIF5B
ENSG00000120616.11 chr10 32557859 EPC1
ENSG00000150093.14 chr10 33189320 ITGB1
ENSG00000099250.12 chr10 33466422 NRP1
ENSG00000108094.10 chr10 35297479 CUL2
ENSG00000108100.13 chr10 35625802 CCNY
ENSG00000177283.4 chr10 35927177 FZD8
ENSG00000067082.10 chr10 3818188 KLF6
ENSG00000198105.7 chr10 38117693 ZNF248
ENSG00000175395.11 chr10 38238500 ZNF25
ENSG00000189180.11 chr10 38299578 ZNF33A
ENSG00000075407.12 chr10 38383275 ZNF37A
ENSG00000165733.6 chr10 43278249 BMS1
ENSG00000165731.13 chr10 43572475 RET
ENSG00000169826.6 chr10 43633934 CSGALNACT2
ENSG00000196693.10 chr10 43084555 ZNF33B
ENSG00000198298.8 chr10 44101855 ZNF485
ENSG00000226790.2 chr10 44282860 HNRNPA3P1
ENSG00000169813.12 chr10 43881065 HNRNPF
ENSG00000196793.9 chr10 44051795 ZNF239
ENSG00000169740.9 chr10 44139308 ZNF32
ENSG00000107551.15 chr10 45455240 RASSF4
ENSG00000165512.4 chr10 45495923 ZNF22
ENSG00000012779.6 chr10 45869675 ALOX5
ENSG00000172661.13 chr10 46222648 FAM21C
ENSG00000165406.11 chr10 45952817 MARCH8
ENSG00000204176.8 chr10 46955444 SYT15
ENSG00000186807.9 chr10 47746990 ANXA8L2
ENSG00000204164.6 chr10 48927373 BMS1P5
ENSG00000107643.11 chr10 49609687 MAPK8
ENSG00000128805.10 chr10 49654077 ARHGAP22
ENSG00000128815.13 chr10 49917751 WDFY4
ENSG00000225830.6 chr10 50663414 ERCC6
ENSG00000243251.4 chr10 50723151 PGBD3
ENSG00000174194.11 chr10 51224688 AGAP8
ENSG00000138293.15 chr10 51572367 NCOA4
ENSG00000138297.9 chr10 51592080 TIMM23
ENSG00000227345.4 chr10 51026325 PARG
ENSG00000196139.7 chr10 5135985 AKR1C3
ENSG00000099290.11 chr10 51827721 FAM21A
ENSG00000204149.5 chr10 51748404 AGAP6
ENSG00000198964.8 chr10 52065360 SGMS1
ENSG00000198610.6 chr10 5238798 AKR1C4
ENSG00000177613.7 chr10 53455247 CSTF2T
ENSG00000173848.14 chr10 5454514 NET1
ENSG00000196372.8 chr10 5680831 ASB13
ENSG00000057608.11 chr10 5807186 GDI2
ENSG00000134461.11 chr10 5903580 ANKRD16
ENSG00000122873.7 chr10 60028818 CISD1
ENSG00000134452.14 chr10 5932194 FBXO18
ENSG00000072401.10 chr10 60094735 UBE2D1
ENSG00000108064.6 chr10 60144782 TFAM
ENSG00000151151.5 chr10 59951278 IPMK
ENSG00000134470.15 chr10 5994335 IL15RA
ENSG00000108091.10 chr10 61548521 CCDC6
ENSG00000151150.15 chr10 61789448 ANK3
ENSG00000134453.11 chr10 6130950 RBM17
ENSG00000170525.14 chr10 6244894 PFKFB3
ENSG00000150347.10 chr10 63661059 ARID5B
ENSG00000181915.3 chr10 64564516 ADO
ENSG00000122877.9 chr10 64571756 EGR2
ENSG00000148572.10 chr10 64893050 NRBF2
ENSG00000171988.13 chr10 64926981 JMJD1C
ENSG00000165476.8 chr10 65281123 REEP3
ENSG00000065675.10 chr10 6469105 PRKCQ
ENSG00000096717.7 chr10 69644427 SIRT1
ENSG00000148634.10 chr10 69682246 HERC4
ENSG00000096746.13 chr10 70091832 HNRNPH3
ENSG00000179774.7 chr10 69990386 ATOH7
ENSG00000108187.10 chr10 70044838 PBLD
ENSG00000138346.10 chr10 70173822 DNA2
ENSG00000060339.9 chr10 70480971 CCAR1
ENSG00000122912.9 chr10 70242521 SLC25A16
ENSG00000107625.8 chr10 70661034 DDX50
ENSG00000165732.8 chr10 70715884 DDX21
ENSG00000122862.4 chr10 70847874 SRGN
ENSG00000122958.10 chr10 70883908 VPS26A
ENSG00000156502.9 chr10 70939988 SUPV3L1
ENSG00000156515.16 chr10 71078600 HK1
ENSG00000075073.10 chr10 71164240 TACR2
ENSG00000122859.4 chr10 71331454 NEUROG3
ENSG00000099284.9 chr10 71812552 H2AFY2
ENSG00000079332.9 chr10 71909960 SAR1A
ENSG00000148730.6 chr10 72164135 EIF4EBP2
ENSG00000156574.5 chr10 72192071 NODAL
ENSG00000156521.9 chr10 71897737 TYSND1
ENSG00000180817.6 chr10 71962587 PPA1
ENSG00000172731.9 chr10 72058732 LRRC20
ENSG00000166224.12 chr10 72575726 SGPL1
ENSG00000180644.6 chr10 72357105 PRF1
ENSG00000198879.7 chr10 7204249 SFMBT2
ENSG00000166228.4 chr10 72643267 PCBD1
ENSG00000198246.7 chr10 73079015 SLC29A3
ENSG00000107736.15 chr10 73156691 CDH23
ENSG00000122863.5 chr10 73724123 CHST3
ENSG00000107742.8 chr10 73818793 SPOCK2
ENSG00000107738.14 chr10 73507316 C10orf54
ENSG00000197746.9 chr10 73576058 PSAP
ENSG00000166295.4 chr10 73975806 ANAPC16
ENSG00000168209.4 chr10 74033678 DDIT4
ENSG00000148719.9 chr10 74092588 DNAJB12
ENSG00000107745.12 chr10 74127098 MICU1
ENSG00000156026.10 chr10 74451889 MCU
ENSG00000122884.8 chr10 74766982 P4HA1
ENSG00000122882.5 chr10 74893414 ECD
ENSG00000138279.10 chr10 75135203 ANXA7
ENSG00000107758.11 chr10 75196564 PPP3CB
ENSG00000138286.9 chr10 74927924 FAM149B1
ENSG00000213551.4 chr10 75002582 DNAJC9
ENSG00000182180.9 chr10 75008601 MRPS16
ENSG00000176986.10 chr10 75504142 SEC24C
ENSG00000196968.5 chr10 75532049 FUT11
ENSG00000172586.7 chr10 75541821 CHCHD1
ENSG00000166507.11 chr10 75561674 NDST2
ENSG00000035403.12 chr10 75757872 VCL
ENSG00000148660.15 chr10 75572259 CAMK2G
ENSG00000156110.9 chr10 75910987 ADK
ENSG00000185009.8 chr10 75882722 AP3M1
ENSG00000156650.8 chr10 76586383 KAT6B
ENSG00000123243.10 chr10 7613368 ITIH5
ENSG00000156671.7 chr10 76871393 SAMD8
ENSG00000165637.9 chr10 76970509 VDAC2
ENSG00000165655.14 chr10 77157588 ZNF503
ENSG00000165644.6 chr10 76993727 COMTD1
ENSG00000148655.10 chr10 77542519 C10orf11
ENSG00000156113.16 chr10 78644639 KCNMA1
ENSG00000165629.15 chr10 7830140 ATP5C1
ENSG00000138326.14 chr10 79793623 RPS24
ENSG00000148606.8 chr10 79734907 POLR3A
ENSG00000108175.12 chr10 80828792 ZMIZ1
ENSG00000108179.9 chr10 81107234 PPIF
ENSG00000165424.6 chr10 81142081 ZCCHC24
ENSG00000133661.11 chr10 81697496 SFTPD
ENSG00000133678.9 chr10 81838426 TMEM254
ENSG00000122359.13 chr10 81914880 ANXA11
ENSG00000133665.8 chr10 82116558 DYDC2
ENSG00000122378.9 chr10 82168249 FAM213A
ENSG00000108219.9 chr10 82213922 TSPAN14
ENSG00000185737.8 chr10 83635070 NRG3
ENSG00000107929.9 chr10 855484 LARP4B
ENSG00000165678.15 chr10 85899196 GHITM
ENSG00000148604.9 chr10 86004809 RGR
ENSG00000107771.11 chr10 86088419 CCSER2
ENSG00000062650.13 chr10 88195013 WAPAL
ENSG00000148672.7 chr10 88810243 GLUD1
ENSG00000122376.7 chr10 88854953 FAM35A
ENSG00000107789.11 chr10 89264632 MINPP1
ENSG00000198682.8 chr10 89419370 PAPSS2
ENSG00000138138.9 chr10 89511269 ATAD1
ENSG00000227268.3 chr10 89618918 KLLN
ENSG00000171862.5 chr10 89622870 PTEN
ENSG00000184719.7 chr10 90033621 RNLS
ENSG00000204020.5 chr10 90521163 LIPN
ENSG00000152766.5 chr10 90581889 ANKRD22
ENSG00000138134.7 chr10 90639491 STAMBPL1
ENSG00000107796.8 chr10 90694831 ACTA2
ENSG00000026103.15 chr10 90750414 FAS
ENSG00000107798.13 chr10 90973332 LIPA
ENSG00000119922.7 chr10 91061712 IFIT2
ENSG00000119917.9 chr10 91087651 IFIT3
ENSG00000185745.8 chr10 91152303 IFIT1
ENSG00000152778.7 chr10 91174343 IFIT5
ENSG00000152779.12 chr10 91190051 SLC16A12
ENSG00000138182.10 chr10 91461367 KIF20B
ENSG00000180628.10 chr10 92980545 PCGF5
ENSG00000165338.11 chr10 93170101 HECTD2
ENSG00000174721.9 chr10 93666346 FGFBP3
ENSG00000095564.9 chr10 93683526 BTAF1
ENSG00000107864.10 chr10 93809388 CPEB3
ENSG00000198060.5 chr10 94050920 MARCH5
ENSG00000119912.11 chr10 94211441 IDE
ENSG00000152804.6 chr10 94447945 HHEX
ENSG00000138190.12 chr10 94608277 EXOC6
ENSG00000138119.12 chr10 95066187 MYOF
ENSG00000173145.7 chr10 96092983 NOC3L
ENSG00000108239.8 chr10 96162261 TBC1D12
ENSG00000107438.4 chr10 96997329 PDLIM1
ENSG00000138185.12 chr10 97471536 ENTPD1
ENSG00000107443.11 chr10 97803151 CCNJ
ENSG00000077147.10 chr10 98277866 TM9SF3
ENSG00000155629.10 chr10 98353069 PIK3AP1
ENSG00000196233.7 chr10 98592712 LCOR
ENSG00000155640.5 chr10 98741041 C10orf12
ENSG00000213390.6 chr10 98981930 ARHGAP19
ENSG00000165879.7 chr10 99079022 FRAT1
ENSG00000181274.5 chr10 99092255 FRAT2
ENSG00000052749.9 chr10 99116458 RRP12
ENSG00000171314.8 chr10 99185917 PGAM1
ENSG00000171311.8 chr10 99195899 EXOSC1
ENSG00000171307.14 chr10 99205927 ZDHHC16
ENSG00000155229.16 chr10 99218081 MMS19
ENSG00000165886.4 chr10 99258625 UBTD1
ENSG00000155252.12 chr10 99400443 PI4K2A
ENSG00000119986.6 chr10 99437181 AVPI1
ENSG00000155256.13 chr10 99496880 ZFYVE27
ENSG00000155265.6 chr10 99609996 GOLGA7B
ENSG00000166024.9 chr10 99894428 R3HCC1L
ENSG00000184956.11 chr11 1012821 MUC6
ENSG00000023445.9 chr11 102188226 BIRC3
ENSG00000110330.4 chr11 102217966 BIRC2
ENSG00000152558.10 chr11 102267067 TMEM123
ENSG00000148926.5 chr11 10326621 ADM
ENSG00000187240.9 chr11 102980160 DYNC2H1
ENSG00000137692.7 chr11 102932808 DCUN1D5
ENSG00000170962.8 chr11 103777917 PDGFD
ENSG00000133805.11 chr11 10477733 AMPD3
ENSG00000137757.6 chr11 104864967 CASP5
ENSG00000196954.8 chr11 104813593 CASP4
ENSG00000137752.18 chr11 104896248 CASP1
ENSG00000204397.3 chr11 104912250 CARD16
ENSG00000255221.2 chr11 104963196 CARD17
ENSG00000110315.2 chr11 10533225 RNF141
ENSG00000182359.10 chr11 105923401 KBTBD3
ENSG00000149313.6 chr11 105948216 AASDHPPT
ENSG00000072952.14 chr11 10594638 MRVI1
ENSG00000152404.11 chr11 107197071 CWF19L2
ENSG00000137760.10 chr11 107373452 ALKBH8
ENSG00000110660.10 chr11 107661717 SLC35F2
ENSG00000166266.9 chr11 107879459 CUL5
ENSG00000075239.9 chr11 107992243 ACAT1
ENSG00000149308.11 chr11 108027942 NPAT
ENSG00000198730.3 chr11 10772534 CTR9
ENSG00000149311.13 chr11 108093559 ATM
ENSG00000110321.11 chr11 10818601 EIF4G2
ENSG00000236287.3 chr11 10874251 ZBED5
ENSG00000178105.5 chr11 108535752 DDX10
ENSG00000178202.8 chr11 108342832 KDELC2
ENSG00000149289.6 chr11 109964087 ZC3H12C
ENSG00000137714.2 chr11 110300607 FDX1
ENSG00000137710.10 chr11 110100175 RDX
ENSG00000170145.4 chr11 111473115 SIK2
ENSG00000137720.3 chr11 111749948 C11orf1
ENSG00000150768.11 chr11 111895538 DLAT
ENSG00000150776.13 chr11 111945013 C11orf57
ENSG00000150779.7 chr11 111955524 TIMM8B
ENSG00000204370.4 chr11 111957497 SDHD
ENSG00000150787.3 chr11 112097088 PTS
ENSG00000137713.11 chr11 111597632 PPP2R1B
ENSG00000086848.10 chr11 111657008 ALG9
ENSG00000255561.2 chr11 111744780 FDXACB1
ENSG00000150782.7 chr11 112013974 IL18
ENSG00000149294.12 chr11 112832158 NCAM1
ENSG00000149292.12 chr11 113185251 TTC12
ENSG00000109906.9 chr11 113930315 ZBTB16
ENSG00000086827.4 chr11 113603909 ZW10
ENSG00000180425.7 chr11 114262165 C11orf71
ENSG00000076053.6 chr11 114271251 RBM7
ENSG00000076043.5 chr11 114310108 REXO2
ENSG00000137656.7 chr11 116618886 BUD13
ENSG00000168092.9 chr11 117014983 PAFAH1B2
ENSG00000149591.12 chr11 117070037 TAGLN
ENSG00000109917.6 chr11 116648436 ZNF259
ENSG00000167257.6 chr11 117104980 RNF214
ENSG00000160584.11 chr11 116714120 SIK3
ENSG00000110274.10 chr11 117198571 CEP164
ENSG00000160613.8 chr11 117075053 PCSK7
ENSG00000186318.12 chr11 117156402 BACE1
ENSG00000137731.9 chr11 117690855 FXYD2
ENSG00000137726.11 chr11 117707727 FXYD6
ENSG00000110324.5 chr11 117857063 IL10RA
ENSG00000160593.13 chr11 118064678 AMICA1
ENSG00000110344.5 chr11 118230300 UBE4A
ENSG00000167283.3 chr11 118271869 ATP5L
ENSG00000118058.16 chr11 118307205 KMT2A
ENSG00000095139.9 chr11 118443168 ARCN1
ENSG00000149573.4 chr11 118124118 MPZL2
ENSG00000167286.5 chr11 118209809 CD3D
ENSG00000160683.4 chr11 118754475 CXCR5
ENSG00000186166.4 chr11 118868852 CCDC84
ENSG00000196655.5 chr11 118889142 TRAPPC4
ENSG00000137700.12 chr11 118895063 SLC37A4
ENSG00000118096.3 chr11 118415258 IFT46
ENSG00000149428.14 chr11 118914900 HYOU1
ENSG00000160695.10 chr11 118938493 VPS11
ENSG00000256269.2 chr11 118955593 HMBS
ENSG00000172269.12 chr11 118967217 DPAGT1
ENSG00000172375.8 chr11 118978093 C2CD2L
ENSG00000172273.8 chr11 118992297 HINFP
ENSG00000160703.10 chr11 119039438 NLRX1
ENSG00000110395.4 chr11 119076752 CBL
ENSG00000173456.4 chr11 119205237 RNF26
ENSG00000036672.11 chr11 119227244 USP2
ENSG00000186174.8 chr11 118764584 BCL9L
ENSG00000118181.6 chr11 118886422 RPS25
ENSG00000188486.3 chr11 118964564 H2AFX
ENSG00000170242.13 chr11 11862970 USP47
ENSG00000184232.4 chr11 120081475 OAF
ENSG00000109929.5 chr11 121163162 SC5D
ENSG00000137642.8 chr11 121322912 SORL1
ENSG00000154127.5 chr11 122526383 UBASH3B
ENSG00000133816.9 chr11 12132138 MICAL2
ENSG00000109943.4 chr11 122709208 CRTAM
ENSG00000109944.6 chr11 122753391 C11orf63
ENSG00000023171.10 chr11 123396530 GRAMD1B
ENSG00000133808.4 chr11 12308447 MICALCL
ENSG00000110002.11 chr11 123986111 VWA5A
ENSG00000154144.8 chr11 124492776 TBRG1
ENSG00000064199.2 chr11 124543694 SPA17
ENSG00000154146.7 chr11 124609829 NRGN
ENSG00000120458.5 chr11 124636394 MSANTD2
ENSG00000149548.10 chr11 124824017 CCDC15
ENSG00000110013.8 chr11 124505694 SIAE
ENSG00000149547.10 chr11 125439298 EI24
ENSG00000150433.5 chr11 124966441 TMEM218
ENSG00000134910.8 chr11 125462690 STT3A
ENSG00000196844.4 chr11 125646008 PATE2
ENSG00000110060.4 chr11 125763381 PUS3
